,id,age,gender,income,days_on_platform,city,purchases
0,0,,Male,126895,14.0,San Francisco,0
1,1,,Male,161474,14.0,Tokyo,0
2,2,24.0,Male,104723,34.0,London,1
3,3,29.0,Male,43791,28.0,London,2
4,4,18.0,Female,132181,26.0,London,2
5,5,23.0,Male,12315,14.0,New York City,0
6,6,,Male,51679,30.0,Tokyo,0
7,7,,Female,53341,43.0,San Francisco,1
8,8,46.0,Male,129157,23.0,New York City,0
9,9,49.0,Female,76842,19.0,Tokyo,2
10,10,,Male,159506,7.0,New York City,0
11,11,,Male,110343,30.0,San Francisco,1
12,12,12.0,Male,130521,12.0,London,1
13,13,,Male,105418,13.0,Miami,0
14,14,,Male,95060,7.0,Tokyo,1
15,15,31.0,Female,226249,20.0,Miami,0
16,16,19.0,Female,51434,18.0,New York City,0
17,17,27.0,Female,177582,2.0,London,0
18,18,10.0,Female,260,32.0,San Francisco,0
19,19,32.0,Female,15174,13.0,Tokyo,1
20,20,40.0,Male,18300,15.0,Tokyo,1
21,21,,Male,67623,40.0,New York City,0
22,22,,Female,39433,36.0,Miami,2
23,23,10.0,Female,108804,5.0,Tokyo,2
24,24,,Female,38777,2.0,San Francisco,2
25,25,46.0,Female,112992,9.0,London,3
26,26,26.0,Female,24300,34.0,Tokyo,0
27,27,,Male,12877,18.0,San Francisco,1
28,28,,Male,44684,15.0,Tokyo,4
29,29,43.0,Male,70598,15.0,London,2
30,30,,Male,1070,32.0,New York City,2
31,31,23.0,Male,25838,15.0,London,1
32,32,16.0,Male,92621,4.0,New York City,0
33,33,,Male,19572,39.0,New York City,2
34,34,31.0,Male,89058,8.0,New York City,1
35,35,26.0,Female,21646,30.0,London,0
36,36,46.0,Male,58738,52.0,San Francisco,1
37,37,,Male,111270,,San Francisco,0
38,38,27.0,Female,19003,25.0,San Francisco,2
39,39,,Male,4127,17.0,New York City,2
40,40,31.0,Male,138533,20.0,New York City,3
41,41,,Female,37303,30.0,New York City,1
42,42,,Male,51178,9.0,London,1
43,43,,Male,52145,79.0,London,0
44,44,36.0,Male,1062,28.0,Tokyo,2
45,45,,Male,142495,26.0,Miami,0
46,46,,Female,37129,29.0,London,0
47,47,34.0,Male,9866,33.0,London,5
48,48,36.0,Male,62665,35.0,San Francisco,0
49,49,40.0,Female,107003,44.0,Tokyo,1
50,50,36.0,Male,255965,22.0,Tokyo,1
51,51,42.0,Male,85704,23.0,New York City,4
52,52,,Female,59313,15.0,New York City,0
53,53,47.0,Female,95797,29.0,San Francisco,0
54,54,13.0,Male,229581,50.0,Miami,1
55,55,49.0,Female,114434,2.0,London,1
56,56,,Male,53427,59.0,Miami,3
57,57,19.0,Male,97559,,Tokyo,2
58,58,,Male,41515,2.0,Miami,1
59,59,,Female,47260,43.0,Miami,0
60,60,,Female,177953,71.0,Miami,0
61,61,,Male,72545,29.0,New York City,0
62,62,27.0,Female,76525,30.0,Tokyo,0
63,63,11.0,Male,115977,37.0,Tokyo,1
64,64,12.0,Male,55581,2.0,Miami,0
65,65,21.0,Female,10834,22.0,Miami,0
66,66,13.0,Male,181514,11.0,San Francisco,1
67,67,,Male,148041,12.0,London,4
68,68,,Female,54724,25.0,Tokyo,0
69,69,,Male,117191,12.0,Miami,2
70,70,13.0,Female,42665,6.0,London,0
71,71,,Female,76611,8.0,London,0
72,72,,Male,85827,27.0,San Francisco,0
73,73,11.0,Female,10174,43.0,London,0
74,74,49.0,Male,39736,31.0,Tokyo,4
75,75,20.0,Female,158067,26.0,Miami,0
76,76,,Female,59422,42.0,London,0
77,77,,Male,31343,56.0,New York City,0
78,78,13.0,Female,42850,4.0,San Francisco,0
79,79,37.0,Male,5041,17.0,Miami,2
80,80,34.0,Male,38877,23.0,Miami,1
81,81,,Male,32758,30.0,San Francisco,1
82,82,32.0,Male,128031,63.0,Tokyo,0
83,83,12.0,Female,117244,54.0,New York City,1
84,84,,Male,163307,12.0,New York City,1
85,85,,Female,39953,14.0,Miami,0
86,86,35.0,Female,47038,,London,1
87,87,,Female,29997,3.0,Tokyo,0
88,88,36.0,Female,101285,36.0,San Francisco,0
89,89,,Female,8802,15.0,Tokyo,2
90,90,,Female,162074,55.0,Miami,0
91,91,44.0,Female,66182,7.0,San Francisco,0
92,92,49.0,Female,144971,59.0,San Francisco,0
93,93,,Male,9143,11.0,New York City,0
94,94,,Male,136740,10.0,London,0
95,95,,Female,54455,27.0,London,1
96,96,,Male,279792,36.0,London,4
97,97,,Male,29338,47.0,New York City,2
98,98,39.0,Male,39017,37.0,Miami,0
99,99,39.0,Female,3550,11.0,Tokyo,1
100,100,18.0,Male,17604,41.0,Tokyo,0
101,101,19.0,Female,86038,21.0,San Francisco,1
102,102,,Male,90784,,Tokyo,2
103,103,49.0,Female,20144,22.0,Tokyo,2
104,104,,Male,24491,5.0,Tokyo,5
105,105,,Male,100126,12.0,Miami,3
106,106,,Male,56859,22.0,New York City,1
107,107,,Female,114142,10.0,San Francisco,2
