Comments,Comment_ID,Reply_Count,Like_Count,Date,VidId,user_ID
"Thanks for this video Ken.

I decided to go into Tech in 2018 by learning web development. Learnt a bit of HTML, CSS and Javascript. My goals has since evolved through this period as I got interested in python programming and Data science.

My current interest now tends towards deep learning and AI

Interesting my knowledge of front end web development will be very helpful in web scraping.",UgxFZTIzC4UPyhhX_PZ4AaABAg,0,0,2022-01-22T08:13:29Z,xpIFS6jZbe8,user_981
"Hello ken jee!!! I'm doing a graduation on Computer Science and i really keen to learn Data Science. From where should i start? learning Python basics? If you have any resources of learning Python, could you help me providing the link? To be honest my excitement to learning data science get on the top notch after watching your this video. 😄",Ugx3IYuAufhb932GYQx4AaABAg,0,0,2022-01-22T01:09:46Z,xpIFS6jZbe8,user_213
"Thanks for this video, man. So useful. I'll meet you when I'm a Senior Lead Data Scientist at the Company I work for",UgyhwwoK24arzRt1mud4AaABAg,0,0,2022-01-21T23:59:05Z,rEWPqw6rMGI,user_1065
"Great video!!! I started learning Python 8 months ago and quickly became interested in DS, I have a background in Finace/Econ but never worked in finance (I have a construction business), my goal is to learn DS and work with investments. Having said all that im considering a boot camp and even a masters in DS, I would love to get your opinion on that. Thanks",UgwrrI7nd3WClsotmHV4AaABAg,0,0,2022-01-21T23:00:37Z,xpIFS6jZbe8,user_3391
"Been watching hours of your material (and Tina) because while I do know that it is not an easy field, I’ve been fascinated by it ever since I first found out about it. Data Analysis is my passion and the one thing I feel I came to the world for, and this role I feel like it’s the pinnacle of it. I will not give up.",UgxlOrHO4MHKSwY9mUN4AaABAg,0,0,2022-01-21T20:24:20Z,sHRq-LshG3U,user_2816
Hey Ken! I am almost finishing my university degreed in market research & marketing and I am going to focus in data science/data engineering. Currently my friends are telling me to buy a M1 Macbook but I am not sure about compatibilities with OSX and I am not familiarised with Macs (I have always being a Windows user). Do you think it is a good idea or is it better to stick with this Zbooks or any other similar Windows laptop?,UgwimG8chbbq3OQuR1Z4AaABAg,0,0,2022-01-21T14:32:13Z,YR9Faf1uZDg,user_2217
"So basically is it modest to say that the silver bullet to get into a good role is:
➡️to have had Software Engineer/Development education + experience

Else
➡️to have been submerged  in roles in your current situation (sometimes very unlikely) analyst to scientist
➡️if none of the above, then to get either of the three things (recommended but not required) but without a work portfolio (professional or otherwise) it is intensively hard",UgxdvNxfl4oh9zqJPFh4AaABAg,0,0,2022-01-21T13:40:39Z,Q9FjwzKFPuM,user_2816
"Hi Ken, as always, your videos are insightful and easy to follow. Would you say that  one of the main distinctions between a data analyst and a data scientist is that the analyst focuses on what happened? While the scientist is looking for future possible outcomes? Thanks so much again for your hard work in helping us!",UgyZtSFQWOCOKWVzHLt4AaABAg,0,0,2022-01-21T05:36:38Z,rEWPqw6rMGI,user_2174
"Watching this for a second time while working out because, well, I'm a huge geek and a fanboi.",Ugx3k4xS-oQi434WINV4AaABAg,0,1,2022-01-21T02:30:26Z,xpIFS6jZbe8,user_287
Any good resume templates I can use?,UgxWkiyn3UVPWws5JwR4AaABAg,0,0,2022-01-21T00:07:05Z,PWmxLYTixAM,user_613
Like Bayesian probably,UgynMqyfhSbeB3PDqI14AaABAg,0,0,2022-01-20T23:33:53Z,YbTMIxjk4hI,user_1250
"Hey Ken! Great introductory video! Thanks :) i have been doing small projects involving blockchain. For example, I scrape blockchain data but i do it using beautifulsoup and selenium. There are APIs but most are not well documented and are not free. When you said “new tools” to work with blockchain data, what do you mean? Also, if you are looking for projects, i would love to brainstorm with you and come up with ideas. I am already working on one and would be great to discuss it with you :)",Ugxs_IcseYwWU7h-fAN4AaABAg,0,0,2022-01-20T15:37:18Z,0jTtHYie3CU,user_2381
"Hey Ken! I would love to hear opinion from you regarding your graduate program at DePaul. Do you think it is a good program for someone without formal CS background? I studied Quantitative Economics as undergrad without programming experience, except statistical programs like eViews, Stata and SPSS. I am currently doing internship at Fortune 200 company as Data Analyst where I will craft my Data Modelling, Analysis and Visualization skills using ( Power) Excel, PowerBI, SQL, Python Spark, matplotlib, pandas etc.",UgwdlxP8gpHVbfk9iIx4AaABAg,0,0,2022-01-20T12:39:10Z,0jTtHYie3CU,user_2606
Thank you sir ⚡,UgycA1BsfvTXbveDPRJ4AaABAg,0,1,2022-01-20T11:15:10Z,XWetgrNas-k,user_3832
Great! Now I can just shove this video in my parents' face next time they ask me what I plan on doing later on in life LMAO,UgwX4jdDxkfNs4rxdFF4AaABAg,0,0,2022-01-19T21:53:22Z,rEWPqw6rMGI,user_3292
Sir I'm from Bangladesh. I am doing bachelor in math. Can I go for data science?,UgyHo23B_DfC90eEQfJ4AaABAg,0,0,2022-01-19T19:55:27Z,zSwM5uVeylU,user_5217
"Hey Ken!
What I have to choose in between Bachelor of business administration major in Finance or IT..to continue in data Science?!",UgyJ4d-_-3XQ-aM61IN4AaABAg,0,0,2022-01-19T19:44:37Z,xjhW1rSQeik,user_3518
Thank you for the amazing series. Was really helpful,Ugwzzl0pva0xOoeQUql4AaABAg,0,1,2022-01-19T18:29:39Z,nUOh_lDMHOU,user_5259
Danger Will Robinson! It's always about the $$$$$.,UgxGj59vp4hGOgwUdil4AaABAg,0,0,2022-01-19T15:44:31Z,0jTtHYie3CU,user_2402
Why did he / you ignore r studio column in df_model ?,UgwqZ11HLWyrGprmvg94AaABAg,0,0,2022-01-19T09:27:10Z,7O4dpR9QMIM,user_2079
"Is it just me or glassdoor has made its html scrape-proof? I tried reproducing the code but I couldn't comprehend how I could access the elements with company name, salary est., location, etc. The elements are just divs with job ids in class name and no extra attributes to access them. Anyone have a workaround, please help? If possible, can anyone share the link with the dataset you scraped because I really want to follow along with the tutorial. Thanks in advance",Ugx1LFuNn9Wva4J4A4N4AaABAg,0,0,2022-01-19T08:27:38Z,GmW4F6MHqqs,user_2125
Thank you for your video always !! But I want Korean subtitle !! :),UgwMxBAjemLhKUwNvYV4AaABAg,0,0,2022-01-19T01:57:40Z,0jTtHYie3CU,user_5433
"Wow, this video is brilliant. My only problem is that the title looks like a clickbait when it actually delivers what it promises haha.
So much chatter around data science these days but very few voices really know the field and of those even fewer have the clarity and generosity to share it in approachable/useful videos like this. Congratulations for the quality of your work and a big thank you.",Ugx78wlnkmd2glAU1FV4AaABAg,0,0,2022-01-18T22:16:57Z,rEWPqw6rMGI,user_5611
what a guy 🤣,UgykHd04N6-lpiNHWZ94AaABAg,0,0,2022-01-18T19:22:15Z,OtqQYqRNDGI,user_5732
thank you for the high quality videos,Ugwv6FRieqNGO5B9vF54AaABAg,0,0,2022-01-18T16:50:39Z,xpIFS6jZbe8,user_5108
Hey Ken! I was wondering what you think about many people using a single account on Netflix or Amazon prime video? It must impact the recommendation generated for that account but also affect user-user similarity used for recommendations.,UgxGbev-WQCE3Ze6Jsd4AaABAg,0,0,2022-01-18T15:26:48Z,m5pwx3hgtzM,user_4209
Arrrrrgggghhhhhh.......... the  audio!!,Ugxdxul6GZf3wD_oydl4AaABAg,0,0,2022-01-18T09:44:52Z,0jTtHYie3CU,user_1214
it isn't relevant to data science but successfully you catch attention!,UgwVm7EyJPfAtUOOljt4AaABAg,0,0,2022-01-18T09:26:50Z,0jTtHYie3CU,user_4146
really catch the trend,UgxvQ2aTyyk6oLz0DKR4AaABAg,0,0,2022-01-18T09:22:08Z,0jTtHYie3CU,user_4146
A boring answer yet practical.,UgypmuA-gsUaks3zrMN4AaABAg,0,0,2022-01-18T09:06:04Z,Q9FjwzKFPuM,user_3706
"I'm 40, want to live in Asia and work remotely. Which should I choose?",Ugx9V-Qz4ba3gzBApqB4AaABAg,0,0,2022-01-18T08:56:50Z,Q9FjwzKFPuM,user_3706
So how can you get a job this way?,Ugw7V6S6nABu8lRq6nJ4AaABAg,0,0,2022-01-18T08:53:34Z,4OZip0cgOho,user_3706
Is it realisable to apply deep learning on a real project after four months starting from scratch in this field ?,UgzoodXHSsmX-mS9mIx4AaABAg,0,0,2022-01-18T01:47:21Z,xpIFS6jZbe8,user_5153
xqcL,UgzuqEYsMvIYlolMu594AaABAg,0,0,2022-01-17T23:54:04Z,0jTtHYie3CU,user_1016
"Just saw your comment on another video. It reminds me that I was an audience of u in 2019. Long time no see, Ken !! Glad to see u have almost 200k followers right now~~  Congrats!",Ugyfvy3eIP0ZK4qUJ2d4AaABAg,0,0,2022-01-17T22:18:01Z,0jTtHYie3CU,user_44
"Hey Ken, can you make a video for highschool students who want to learn more about data science..?",UgzXiIV9a4Rkv0v8Ohd4AaABAg,0,0,2022-01-17T22:03:17Z,0jTtHYie3CU,user_3272
Audio’s a bit off 🤨,UgwyiitADb_XdopmF314AaABAg,0,0,2022-01-17T20:28:45Z,0jTtHYie3CU,user_1655
Who owns kaggle,Ugxo3gO0vl-2J3Tw3bp4AaABAg,0,0,2022-01-17T20:28:09Z,n7kjelw9s2w,user_1655
"As a data scientist, that sounds really interesting. Could you expand on it more in future videos?",UgzGEouqZrXVZASouMR4AaABAg,0,0,2022-01-17T20:15:22Z,0jTtHYie3CU,user_1770
"KEN! When are you dropping the Papaya NFT collection?!?!
#TheNFTsWeNeed 🍈🚀 #PapayasIncToTheMoon",UgwmeP_bCJAgQxRdcip4AaABAg,0,1,2022-01-17T19:27:37Z,0jTtHYie3CU,user_2661
"If you enjoy work with data cryptography, niche databases (a lot of projects have their own way of QB and , graph data ... then web3 data science could be interesting for you.",UgyWS4EudnlRjtz9YOZ4AaABAg,0,0,2022-01-17T18:22:37Z,0jTtHYie3CU,user_226
ah I thought you were gonna say you never did it :x,UgzjyBnaWR_qcSXfbUZ4AaABAg,1,1,2022-01-17T18:00:49Z,cnqTU6eJwH0,user_4607
I am excited PERIOD,UgyhNtxvDw_GkCnHSNF4AaABAg,3,4,2022-01-17T17:52:05Z,0jTtHYie3CU,user_4607
"Great video. Interesting that we sort of agree on the whole thing. Ive been stressing this for a while. The true way to make money in AI (especially in the Web 3 context) is through Data. People often think of big models and fancy architectures in Machine Learning, but that's not the major component",UgzH8edLRHJJQkGC37p4AaABAg,1,5,2022-01-17T17:06:41Z,0jTtHYie3CU,user_1271
So its already Jan 17. Am I too late to start my #66DaysofData?,UgyGJcCgH4BwQNrCPCx4AaABAg,2,1,2022-01-17T16:32:22Z,0jTtHYie3CU,user_1043
"Loved your analysis of web 3, Ken! I've also recently researched a bit about blockchain for my CS study. Totally agreed, a lot of loose ends on the web 3 discussion that still needs to be solved before it can become mainstream.",UgwYu_vBvx3e7KwkwpB4AaABAg,1,2,2022-01-17T15:51:14Z,0jTtHYie3CU,user_4596
Nice perspective. As a computational chemist applying ML methods I'm always highly suspicious about people being too excited about any new methodology. And even though I am a retail investor in crypto projects I just can't imagine most narratives to come true.,UgymPsmqX19Q-UjIRHB4AaABAg,2,1,2022-01-17T15:36:19Z,0jTtHYie3CU,user_5302
Tell me this position is bad while repeatedly beating it into my soul this position is bad.,UgwotONA2wZYpov-mKt4AaABAg,1,1,2022-01-17T15:20:48Z,2RWwN5ZT4tA,user_1037
Awesome explanation Ken!!,UgycXmnAJYDx7IdUFqp4AaABAg,1,3,2022-01-17T15:11:26Z,0jTtHYie3CU,user_530
All Ken's videos during the past year had perfect audio quality .. I think this is just some kind of bug or unexpected thing during editing or upload .. The video is very interesting though so I hope everyone can overlook this one time issue and focus on the topic 🌻,Ugxv9h0WPN4iQVlEy9t4AaABAg,2,1,2022-01-17T14:31:07Z,0jTtHYie3CU,user_1889
As a data librarian web 3 will be instrumental in making data resources more accessible.,UgyAqkt6pvlrEuptNdl4AaABAg,2,1,2022-01-17T14:21:13Z,0jTtHYie3CU,user_1960
"Perfect timing with this video!  I've had some articles about web3 on my reading list, so really glad you've nicely introduced us to this topic :)",UgzCIeCcOI7kVgUjN7t4AaABAg,1,3,2022-01-17T14:06:47Z,0jTtHYie3CU,user_2138
So should I expect a ken and Avery colab? 👀👀,UgxO39WxumyfD3giQRp4AaABAg,1,2,2022-01-17T14:01:40Z,0jTtHYie3CU,user_1389
"What I am confused on Data Science and AI with the development of web 3 is, if the data are publicly available- I guess (more like believe) the owner of the data would be kept anonymous. Although there is plenty of data out in the web, how would the business make strategies to reach to their audiences/customers? Wouldn't it be like television/radio/newspaper ads? 
Also, how would the services reach to their probable new customers/audiences? Basically how would AI work for recommendation and how would business collect data to grow their business? 
I don't think the recommendation system would be like throwing anything to the public what they want people to see (not what people want to see.). Facebook and Youtube are not hurt.",Ugyk6LM6qFBE_WIQWLB4AaABAg,1,1,2022-01-17T13:49:38Z,0jTtHYie3CU,user_4017
Bad audio quality,UgyS7cu0oidH4hj6a2l4AaABAg,1,0,2022-01-17T13:46:21Z,0jTtHYie3CU,user_3005
"I think video has a audio issue. 
But I watched completely. 
Looking forward to read more about web3",Ugywz0OgAFzgneIqufd4AaABAg,1,21,2022-01-17T13:33:29Z,0jTtHYie3CU,user_422
Bro your voice has a problem,UgwnMTgUtsMSzlHeDnV4AaABAg,1,0,2022-01-17T13:29:50Z,0jTtHYie3CU,user_3040
I believe irrespective of your field exploring blockchain is must to explore topic in current times.,Ugx2VskXRXpSPaEH0u14AaABAg,2,4,2022-01-17T13:06:28Z,0jTtHYie3CU,user_659
"Secret web 3 project with?!? What!!!!! That sounds exciting. But seriously, every transaction being publicly available is a pretty cool idea, but also kinda scary. Think about your credit card bill being public. 😩",UgxUwwsJxyoXXTXiCEF4AaABAg,4,2,2022-01-17T13:06:21Z,0jTtHYie3CU,user_655
I was eagerly waiting for your opinion on this topic.,UgxwsQymXpp_EWJv1tZ4AaABAg,0,4,2022-01-17T13:04:04Z,0jTtHYie3CU,user_659
Can you please share how to get started a career in web3 ?,UgzTQ-uzIiFIfz7Xwxp4AaABAg,1,4,2022-01-17T13:01:58Z,0jTtHYie3CU,user_3017
"great video, thanks for advice!",UgzlE16jj63PNdnJscp4AaABAg,1,1,2022-01-17T11:08:45Z,xpIFS6jZbe8,user_1144
"Hey Can you suggest me some beginner python ml ds related projects for college project for college..
And also if you suggest any specific course or video on guide of how should i approach learning ds",UgxTZS41T7LntTYo16t4AaABAg,0,0,2022-01-17T07:59:20Z,2RWwN5ZT4tA,user_4550
"Thanks for watching everyone! New web 3 project is going to be an analysis of some web 3 data! What type of web 3 data would you be interested in seeing us analyze? Also, I apologize for the audio poorer audio quality on this one. Using a new camera and I guess I didn't tune it right!",Ugwso6wfUZGHUKEAYi54AaABAg,1,7,2022-01-17T07:02:30Z,0jTtHYie3CU,user_2385
"I noticed in this video you mention the tools used for a Data Scientist but don't say too much about the math that's used regularly. This seems to be a common trend on ""How to Become a Data Scientist"" videos. They almost exclusively talk about learning Python, R, SQL etc. but rarely go into any detail on the math involved in the field. I'm in a masters program for Data Science and it's pretty heavily math focused to begin. Just an idea for a future video. 

Anyway, thanks for consistently putting content out, you're videos have really helped me in understanding the direction I want to go!",Ugzh__U8LvOxS3VIQrR4AaABAg,1,1,2022-01-17T01:25:14Z,rEWPqw6rMGI,user_1697
"Is WSL 2, or just linux in general, something I should be familiar with before getting my first job as a data scientist?  What resources should I use to learn?",UgwSLDj9YzXBkoS9c1N4AaABAg,1,1,2022-01-16T21:46:25Z,-zbLpoJVBMI,user_1373
"Bro you recently suggest me a NLP(beginner) related video. And it was great I got lot from it... Would u plzz suggest me some more but must have a professional level NLP (project type or tutorial will also do the job) video. 
Thanks again ❤️🙌😃😘🙂",Ugxs3arNNcRz2tkEpud4AaABAg,5,3,2022-01-16T14:49:10Z,2RWwN5ZT4tA,user_1572
"Just because you do not take an interest in politics doesn't mean politics won't take an interest in you.

I think same is happening these days,

Just because you do not take an interest in data science doesn't mean Data Science won't take an interest in you.",Ugx3PRfxFfQ_vgdpJPV4AaABAg,1,2,2022-01-16T11:55:45Z,rEWPqw6rMGI,user_3452
This video will be definitely useful  💯 for some of my friends or data science aspirants but I think it requires little base to understand some terms as some are completely unaware about it🙃,UgxgMO9-sy3Pu1_6n4F4AaABAg,1,2,2022-01-16T11:50:17Z,rEWPqw6rMGI,user_3452
Both ad campaign are good 🙌😂 like In 1st case ppl will impacted by doctors advice and in 2nd case 25% off🙃,UgzLGLP39g-aBn28Ir54AaABAg,1,2,2022-01-16T11:30:10Z,rEWPqw6rMGI,user_3452
Sir I got selected for data scientist internship.in that  internship  they will calculate performance evaluation ... please give me some suggestions sir.. what are courses are most useful for data scientist job,Ugxj7exP_7WLh_-8ckt4AaABAg,1,1,2022-01-16T10:28:00Z,KHAuuOQui2U,user_953
"Data Science:

1.excell 
2.SQL 
3.python 
4.tableue 
5.Statistics SPSS 
6.tensorflow 
7.pandas/numby  
8.IDE Jupyter",UgwqHyHGCEegAGHvh9J4AaABAg,1,2,2022-01-16T01:38:58Z,rEWPqw6rMGI,user_5552
"How about don't learn data science lol. I'm sorry but the only benefit is that it pays REALLY well. It lacks creativity, is stressful because of the pressure that corporations put on your utilitarian ""skills"" you bring to the table to asses and translate data. Its a hard job. I'd pass.",UgwBa7jmudw0HxHWYhJ4AaABAg,1,0,2022-01-15T20:14:48Z,xpIFS6jZbe8,user_2518
this video doesnt explain or demonstrate anything about devs enviroment or how to save your work,UgwSulP6DkKxJr8p8NV4AaABAg,1,0,2022-01-15T17:17:03Z,C4OPn58BLaU,user_3322
ORAGANIZING? I have so many questions.,UgxFBjFln3FWUKWCoRB4AaABAg,1,1,2022-01-15T14:26:10Z,rEWPqw6rMGI,user_2534
"As a data engineer at the largest shipping company in the world, I can tell you this: a data scientist is nothing without a data engineer and a data engineer is nothing without a software engineer. You need the three of them working together.",UgwHcQ4DNKsgKY8ZgF54AaABAg,2,1,2022-01-15T13:37:38Z,vwvdtXMcNzI,user_2256
No,Ugy-rljZ-DeN_y-mGNN4AaABAg,1,1,2022-01-15T12:24:06Z,2RWwN5ZT4tA,user_5753
"Hi Ken, I'm 37 years old and from Banking industry. Studied accountancy and economics. I have been contemplating about doing data science for past a couple of years as i have never felt too confident about it.

Data is definitely important but people doing masters/major in statistics will have upper hand to people who are doing data science course with no prior engineering background.
Also, people who know various coding languages might again have upper hand.
Rest you have in the job training.

Please share your response. I want to learn data science but I'm not feeling too confident about it's future for someone with my background.",UgwY456JQukh5wSh4ch4AaABAg,2,1,2022-01-15T07:02:03Z,2qVWurPFwfc,user_255
Will really love to see more of this story telling content ...so educative and interesting,UgzhROzeVx63SUGUZoF4AaABAg,1,1,2022-01-14T23:04:11Z,scSc6YSanQ0,user_464
Any full playlist that of data science you have taught from scratch ?,UgxIOp5fAA7as9WIb654AaABAg,0,0,2022-01-14T20:06:58Z,Ip50cXvpWY4,user_5030
"Even with all these ""strange"" job aspects, I still decided to take the job because of the once-in-a-lifetime opportunity to work with Ken!! 🙌🏼 
#PapayasIncToTheMoon 🍈🚀 #WeAreGonnaBuildSoManyPapayaDashboardsKen",Ugzz5frloXT-05IObTN4AaABAg,1,7,2022-01-14T15:43:22Z,2RWwN5ZT4tA,user_2661
"Hello, Where do i learn about pc hardware specs for beginners.",Ugy06JDoRuAl0Jzf0cZ4AaABAg,0,0,2022-01-14T13:02:34Z,QQLToUlgN7A,user_737
"I've had this many times in my field as well. Sad, they think they're doing you a favor",Ugx32WLS5b4nNSXJrnF4AaABAg,0,1,2022-01-14T12:06:35Z,2RWwN5ZT4tA,user_1594
"Ah, I see you've met my former employer",Ugy5kDIc_YUWZQY3E_J4AaABAg,3,2,2022-01-14T11:51:17Z,2RWwN5ZT4tA,user_2569
"I mean if ken's offering it, he should take it blindly, I mean he gets ken as his coworker what else can anyone ask for? 😳",UgwCkuVPRi_eDOYbQY94AaABAg,4,7,2022-01-14T11:13:18Z,2RWwN5ZT4tA,user_1389
this aint even a joke lol,UgxNbe7PNy1wrXVi3HV4AaABAg,1,2,2022-01-14T10:55:43Z,2RWwN5ZT4tA,user_4401
Love your videos ❤️,UgwIcKSVU1yAgfeyXiZ4AaABAg,1,2,2022-01-14T10:03:47Z,2RWwN5ZT4tA,user_895
"I just finished an online bootcamp course and this content effectively summarizes what I've learned thus far. This solidified my knowledge and I'm glad to know that I'm on the right track.

I hope you keep on making content like this to educate people like us who aspire to practice a career in the fascinating Data Science field!!",UgzAm6AVj83WcUVy3Ih4AaABAg,1,1,2022-01-14T05:38:58Z,rEWPqw6rMGI,user_2252
"Thanks for this straightforward and in-depth explanation! I'm a beginner in DS, and I'm looking forward to applying it in my practice as a biomedical scientist, especially with a focus on infectious diseases.",Ugwlg_0eCZevwLrprMd4AaABAg,1,2,2022-01-13T19:39:33Z,rEWPqw6rMGI,user_1476
"Wow this is so interesting! How crazy the consequences of unsupervised machine learning that went wrong. Great video, Ken! Very well done! I really enjoyed this kind of analysis of real life problems we're facing.",UgxRUsUQWK1ZbJxJfJ94AaABAg,1,2,2022-01-13T17:21:28Z,FqNpDNmpcEo,user_4596
"https://youtu.be/p4MPvter1Ng
pandas tutorials",UgwgLVrUJyShOHngTZN4AaABAg,0,0,2022-01-13T13:17:30Z,8Pi36Nj6P9A,user_2513
This will be a great help ♥️,UgwoBYWTP91rcNl4QNJ4AaABAg,1,1,2022-01-13T11:33:11Z,1FrY7ARSf10,user_3808
"Worth to watch video for a beginner like me before embarking onto the data science learning journey,",UgwmLx-SNSkaesZQ-nh4AaABAg,2,2,2022-01-13T09:08:43Z,XWetgrNas-k,user_1053
Great insights .,UgzaVHj8oQvEQrEhnn54AaABAg,0,1,2022-01-13T09:07:18Z,XWetgrNas-k,user_1053
I think it's interesting that you differntiate Data Science from Statistics. I guess it's a matter of semantics but I've never heard someone else say that,UgwTGistZqzSjsvXcsh4AaABAg,1,1,2022-01-13T05:10:19Z,rEWPqw6rMGI,user_1271
"You give us a clear introduction for data scientist, thanks.",UgywVIHfZtuBktvvpjJ4AaABAg,1,1,2022-01-13T05:04:43Z,rEWPqw6rMGI,user_1637
My only complaint might be that they made it too easy and the value of the cert might not be that high.,UgwKHPGXghrEczx2Dbd4AaABAg,1,1,2022-01-12T22:42:50Z,o-wsyxWbPOw,user_3319
